City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Rio Gallegos,AR,2022-08-02 03:21:33,-51.6226,-69.2181,39.25,60,0,13.8
101,Jamestown,US,2022-08-02 03:17:09,42.097,-79.2353,74.79,64,0,9.22
102,Kutahya,TR,2022-08-02 03:21:42,39.4242,29.9833,57.45,75,0,2.86
103,Soe,ID,2022-08-02 03:21:43,-9.8607,124.284,80.02,45,100,5.61
104,Kununurra,AU,2022-08-02 03:21:43,-15.7667,128.7333,89.58,23,2,6.91
105,Rantepao,ID,2022-08-02 03:21:43,-2.9701,119.8978,79.47,67,95,3.62
106,Guerrero Negro,MX,2022-08-02 03:21:44,27.9769,-114.0611,73.4,71,0,13.98
107,Tarakan,ID,2022-08-02 03:21:44,3.3,117.6333,85.5,74,40,6.91
108,Tuatapere,NZ,2022-08-02 03:21:45,-46.1333,167.6833,51.78,80,35,10.89
109,Beringovskiy,RU,2022-08-02 03:21:45,63.05,179.3167,53.78,72,13,9.42
110,San Quintin,MX,2022-08-02 03:21:45,30.4833,-115.95,71.4,78,0,9.37
111,Tiksi,RU,2022-08-02 03:21:46,71.6872,128.8694,45.54,78,97,3.13
112,Dikson,RU,2022-08-02 03:21:46,73.5069,80.5464,41.34,87,100,6.64
113,Punta Arenas,CL,2022-08-02 03:19:55,-53.15,-70.9167,46.51,57,75,13.8
114,La Ronge,CA,2022-08-02 03:21:47,55.1001,-105.2842,68.22,59,100,3.44
115,Hasaki,JP,2022-08-02 03:21:36,35.7333,140.8333,102.29,68,100,7.85
116,Kodiak,US,2022-08-02 03:21:47,57.79,-152.4072,63.91,48,40,9.22
117,Souillac,MU,2022-08-02 03:21:48,-20.5167,57.5167,64.78,100,40,4.61
118,Mana,GF,2022-08-02 03:21:48,5.6592,-53.7767,77.63,85,90,6.22
119,Urumqi,CN,2022-08-02 03:21:48,43.801,87.6005,83.35,28,0,4.47
120,Saldanha,ZA,2022-08-02 03:21:49,-33.0117,17.9442,46.45,61,2,4.79
121,Hermanus,ZA,2022-08-02 03:21:49,-34.4187,19.2345,44.8,68,0,7.9
122,Ugoofaaru,MV,2022-08-02 03:21:50,5.6667,73.0,81.27,78,100,21.03
123,Dingle,PH,2022-08-02 03:21:50,10.9995,122.6711,85.46,71,97,4.47
124,Carnarvon,AU,2022-08-02 03:21:50,-24.8667,113.6333,66.54,59,92,15.46
125,Beloha,MG,2022-08-02 03:21:51,-25.1667,45.05,63.66,71,86,9.62
126,Aasiaat,GL,2022-08-02 03:21:51,68.7098,-52.8699,41.43,93,96,8.9
127,Killorglin,IE,2022-08-02 03:21:52,52.1,-9.7833,64.17,98,100,9.91
128,Edson,CA,2022-08-02 03:21:52,53.5835,-116.4356,62.74,82,20,2.3
129,Strathmore,CA,2022-08-02 03:21:53,51.0501,-113.3852,76.41,68,0,6.91
130,Arraial Do Cabo,BR,2022-08-02 03:21:51,-22.9661,-42.0278,70.38,89,1,19.01
131,Sao Filipe,CV,2022-08-02 03:21:53,14.8961,-24.4956,75.79,85,53,7.94
132,Manjacaze,MZ,2022-08-02 03:21:54,-24.7117,33.8828,64.24,72,75,4.97
133,Ponta Do Sol,PT,2022-08-02 03:21:54,32.6667,-17.1,70.72,80,4,4.36
134,Naze,JP,2022-08-02 03:21:46,28.3667,129.4833,85.12,80,70,10.69
135,Port Hardy,CA,2022-08-02 03:21:54,50.6996,-127.4199,62.78,67,20,9.22
136,Sorong,ID,2022-08-02 03:21:55,-0.8833,131.25,81.66,76,100,6.4
137,Hovd,MN,2022-08-02 03:21:55,48.0056,91.6419,72.57,27,100,3.69
138,Krasnoselkup,RU,2022-08-02 03:22:56,65.7,82.4667,56.88,56,2,20.33
139,Sambava,MG,2022-08-02 03:22:56,-14.2667,50.1667,67.19,83,16,10.2
140,Faanui,PF,2022-08-02 03:22:56,-16.4833,-151.75,78.6,69,3,21.65
141,Ahipara,NZ,2022-08-02 03:22:57,-35.1667,173.1667,59.04,65,100,7.02
142,Monrovia,LR,2022-08-02 03:20:52,6.3005,-10.7969,73.17,82,100,13.4
143,Srednekolymsk,RU,2022-08-02 03:22:57,67.45,153.6833,71.29,69,97,3.02
144,Jurm,AF,2022-08-02 03:22:58,36.8648,70.8342,72.14,41,2,2.24
145,Bontang,ID,2022-08-02 03:22:58,0.1333,117.5,77.23,88,100,3.71
146,Khatanga,RU,2022-08-02 03:22:59,71.9667,102.5,48.97,66,100,7.16
147,Puerto Escondido,MX,2022-08-02 03:22:59,15.85,-97.0667,81.43,65,40,3.44
148,Mutare,ZW,2022-08-02 03:22:59,-18.9707,32.6709,50.92,84,66,5.1
149,Khasan,RU,2022-08-02 03:23:00,42.4308,130.6434,72.37,96,100,6.49
150,Shache,CN,2022-08-02 03:23:00,38.4167,77.2406,81.01,31,100,4.59
151,Esperance,AU,2022-08-02 03:23:01,-33.8667,121.9,58.84,62,66,36.69
152,Port Augusta,AU,2022-08-02 03:23:01,-32.5,137.7667,51.08,67,100,22.93
153,Palmer,US,2022-08-02 03:23:01,42.1584,-72.3287,70.97,85,0,5.75
154,Vardo,NO,2022-08-02 03:23:02,70.3705,31.1107,51.78,93,100,2.3
155,Riverton,US,2022-08-02 03:20:45,40.5219,-111.9391,79.29,55,40,4.61
156,Rurrenabaque,BO,2022-08-02 03:23:02,-14.4413,-67.5278,70.27,92,75,2.01
157,Ocampo,MX,2022-08-02 03:22:46,21.65,-101.5,60.51,74,61,14.76
158,Sitka,US,2022-08-02 03:23:03,57.0531,-135.33,58.89,82,100,6.91
159,That Phanom,TH,2022-08-02 03:23:03,16.9364,104.7104,83.77,77,45,8.05
160,Pangody,RU,2022-08-02 03:23:04,65.85,74.4859,59.38,53,18,8.55
161,Avarua,CK,2022-08-02 03:23:04,-21.2078,-159.775,77.05,57,75,6.91
